                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6205,                0.91299,                 1.8175,                 1.7052,                 1.0666,                 1.8654,                0.78812,                0.88457,                 0.8932,                0.49671,                 1.4955,                0.76723,                 1.9398,                 1.5521,                0.79132,                 2.0109,              0.0095644,              0.0095644,              0.0095644
                     25,                  1.566,                0.88443,                 1.7575,                 1.6786,                 1.0451,                 1.8176,                0.82186,                0.84146,                0.87992,                0.49151,                 1.5084,                 0.7237,                 1.9448,                 1.5685,                0.71619,                 2.0005,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.5751,                 0.8825,                 1.7714,                 1.6719,                 1.0496,                 1.8216,                0.84004,                0.89634,                0.91998,                0.51422,                 1.5219,                0.75222,                 1.9524,                 1.5267,                0.65963,                 1.9331,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.5573,                0.87165,                 1.7563,                 1.6365,                 1.0239,                 1.8104,                0.89085,                0.84608,                0.92255,                0.53342,                 1.4238,                0.67551,                 1.8623,                 1.4668,                0.64803,                 1.9341,               0.009505,               0.009505,               0.009505
                     28,                 1.5667,                0.88511,                 1.7752,                 1.6586,                 1.0251,                 1.8237,                0.82456,                0.89024,                0.90962,                0.45693,                 1.5872,                 0.7481,                 2.0765,                 1.7028,                0.79685,                 2.1533,              0.0094852,              0.0094852,              0.0094852
                     29,                  1.531,                0.83404,                 1.7324,                 1.5948,                0.96434,                 1.7695,                0.81308,                0.90244,                0.91916,                 0.5439,                 1.4615,                0.66786,                 1.8911,                 1.4501,                0.65185,                 1.9104,              0.0094654,              0.0094654,              0.0094654
                     30,                  1.515,                0.84689,                 1.7356,                 1.6074,                 1.0066,                 1.7894,                0.85674,                0.83869,                0.87465,                0.48635,                 1.5108,                0.70174,                 2.0037,                 1.5601,                0.64492,                 2.0605,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.5017,                0.81774,                 1.6982,                 1.5908,                0.95256,                 1.7545,                0.87461,                0.85976,                0.91796,                0.48006,                 1.6111,                0.70423,                 2.0743,                 1.6652,                0.61739,                 2.0894,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.5144,                 0.8399,                 1.7063,                 1.5885,                0.95037,                 1.7475,                0.88072,                0.85976,                0.90394,                0.43198,                 1.7272,                0.70508,                 2.2362,                 1.7514,                0.67032,                 2.3071,               0.009406,               0.009406,               0.009406
                     33,                 1.4751,                0.82837,                 1.6947,                 1.5719,                0.96419,                 1.7512,                0.80668,                0.88415,                0.90451,                0.49889,                  1.417,                0.66436,                 1.8966,                 1.5312,                 0.6292,                 1.9766,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.4933,                0.82424,                 1.7014,                 1.5762,                0.95281,                 1.7449,                0.86721,                0.87195,                0.92769,                0.54261,                 1.3876,                0.60701,                 1.8354,                 1.4698,                0.55977,                 1.9192,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.4512,                0.78519,                 1.6618,                 1.5308,                0.89847,                 1.7097,                0.89792,                0.85816,                0.93261,                0.50866,                 1.4767,                0.63299,                 1.9419,                 1.5253,                0.56131,                 2.0326,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.4545,                0.79834,                 1.6841,                 1.5365,                0.91526,                  1.732,                0.88227,                0.91389,                 0.9288,                0.52742,                 1.5034,                0.68942,                 1.9648,                 1.5323,                0.62986,                  1.949,              0.0093268,              0.0093268,              0.0093268
                     37,                  1.421,                0.78874,                 1.6604,                  1.504,                 0.9008,                 1.7027,                0.84961,                0.93293,                0.93787,                0.55147,                 1.3723,                0.61157,                 1.8372,                 1.4496,                0.54385,                 1.9029,               0.009307,               0.009307,               0.009307
                     38,                 1.4138,                0.79845,                 1.6521,                  1.491,                0.94066,                 1.7043,                0.84033,                0.96273,                0.93918,                  0.549,                 1.3965,                0.64311,                 1.8627,                 1.4149,                0.58968,                 1.9055,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.4247,                0.79171,                 1.6269,                 1.5128,                0.90359,                 1.6805,                0.88972,                 0.9347,                0.95149,                0.60102,                 1.3126,                0.57832,                  1.753,                 1.3574,                0.51341,                 1.8348,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.4022,                0.76703,                 1.6367,                 1.4673,                 0.8895,                 1.6738,                 0.8505,                0.93663,                 0.9537,                0.60642,                 1.3327,                0.60739,                 1.7538,                 1.3271,                0.56667,                 1.7799,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.4097,                0.77555,                 1.6368,                 1.4868,                0.88332,                 1.6831,                0.81414,                0.90244,                0.91515,                0.53628,                 1.3284,                0.71611,                 1.7922,                 1.4003,                0.85419,                 1.8787,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.3858,                0.75851,                  1.623,                 1.4834,                0.86476,                 1.6701,                0.91106,                0.90244,                0.96752,                0.59642,                  1.345,                0.65925,                 1.7965,                 1.4089,                0.60372,                 1.8421,               0.009208,               0.009208,               0.009208
                     43,                 1.3837,                 0.7683,                 1.6328,                 1.4843,                0.85327,                   1.69,                0.91337,                0.92683,                0.96793,                0.60901,                 1.2918,                 0.5611,                 1.7258,                 1.3675,                0.49814,                 1.7971,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.3862,                0.75801,                 1.6182,                 1.4835,                0.87134,                 1.6686,                0.89699,                0.95573,                0.95322,                0.56431,                 1.3644,                0.70311,                 1.8116,                 1.4086,                0.60045,                 1.8688,              0.0091684,              0.0091684,              0.0091684
